City,State,Type,Description
PLATTSBURGH,NY,STJ,chime,St. John the Baptist RC Church
PORT JERVIS,NY,chime,The Memorial Chimes, Deerpark Reformed Church (RCA)
RIDGEWOOD,NY,chime,St. Aloysius Catholic Church
ROCHESTER,NY,A,ring,Church of the Ascension (Episcopal)
ROCHESTER,NY,CRDS,chime,Colgate Rochester Crozer Divinity School (Baptist)
ROCHESTER,NY,STMI,chime,St. Michael's Catholic Church
ROCHESTER,NY,STP,chime,SS. Peter & Paul Catholic Church
ROCHESTER,NY,TP,chime,Third Presbyterian Church (PCUSA)
ROCHESTER,NY,UR,trad,Hopeman Memorial Carillon, Rush Rhees Library, River Campus, University of Rochester
ROME,NY,FB,chime,1st Baptist Church (ABC)
SACKETS HARBOR,NY,chime,The Dewitt C. Hay Memorial Tower, United Presbyterian Church
SCARBOROUGH,NY,chime,St. Mary's Episcopal Church
SCHENECTADY,NY,UC,chimola,Memorial Chapel Cupola, Union College
STATEN ISLAND,NY,STJ,chime,St. John's Episcopal Church
STATEN ISLAND,NY,STP,chime,St. Peter's Catholic Church
SYRACUSE,NY,SU,chime,Crouse College Chime, Crouse College, Syracuse University
TROY,NY,A,chime,Mount Ida Preservation Hall (was Episcopal Church of the Ascension)
TROY,NY,STJOH,chime,St. John's Episcopal Church
TROY,NY,STJOS,chime,St. Joseph Catholic Church
TROY,NY,STPA,chime,St. Patrick's Catholic Church
TROY,NY,STPE,chime,St. Peter's Catholic Church
TROY,NY,W,chime,Contemporary Artists Center (was Woodside Presbyterian Church)
UTICA,NY,G,chime,Grace Episcopal Church
UTICA,NY,STJ,chime,St. John's RC Church
UTICA,NY,STP,chime,St. Joseph & St. Patrick RC Church
WAPPINGERS FALLS,NY,chime,Zion Episcopal Church
WATERFORD,NY,chime,The Kavanaugh Chime, Grace Episcopal Church
WATERTOWN,NY,,chime,Trinity Episcopal Church
WATERVLIET,NY,chimola,Watervliet Historical Society, relocated from Bangor PA in 2006, then from Fulton County NY in 2013
WATERVILLE,NY,chime,Sanger Lodge Masonic Temple
WEST POINT,NY,chime,The Cadet Chapel, United States Military Academy
WILLIAMSVILLE,NY,trad,The Niederlander Carillon, Calvary Episcopal Church
YONKERS,NY,IC,chime,Immaculate Conception (St. Mary's) Catholic Church
YONKERS,NY,STA,chime,St. Andrew's Memorial Episcopal Church / Iglesia San Andres
YONKERS,NY,STP,non-trad,Faith Church (was St. Paul's Episcopal Church)
ANGIER,NC,coll,Coats Museum Bell Tower & House
BELMONT - FPC,NC,trad,William James Pharr Carillon, First Presbyterian Church (PCUSA)
BELMONT - HC,NC,non-trad,Lineberger Memorial Carillon, Lutheran Church of the Holy Comforter (ELCA)
BOILING SPRINGS,NC,non-trad,Lake Hollifield Carillon, Gardner-Webb University
BUIES CREEK,NC,non-trad,Dinah E. Gore Bell Tower, Butler Chapel, Campbell University
CHAPEL HILL,NC,chime,Morehead-Patterson Bell Tower, University of North Carolina
CHARLOTTE - CM,NC,chime,Grace Covenant Church (was Chalmers Mem'l Assoc.Ref.Presby.)
CHARLOTTE - CPC,NC,trad,Covenant Presbyterian Church (PCUSA)
CHARLOTTE - MPP,NC,trad,Myers Park Presbyterian Church (PCUSA)
CHARLOTTE - MPUM,NC,non-trad,Myers Park United Methodist Church
Charlotte,NC,great,The American Freedom Bell
Charlotte - FMBC,NC,great,Friendship Missionary Baptist Church
CHERRYVILLE,NC,non-trad,Beam, Pratt & Brawley Memorial Carillon, First United Methodist Church
CONCORD - STJ,NC,non-trad,Blanche Brown Coltrane Memorial Carillon, Evangelical Lutheran Church of St.James
DURHAM - DU,NC,trad,Chapel, West Campus, Duke University
DURHAM - MMC,NC,chime,Duke Memorial United Methodist Church
FAYETTEVILLE - FP,NC,chime,Ray Memorial Chimes, First Presbyterian Church (PCUSA)
FAYETTEVILLE - SM,NC,chime,Snyder Memorial Baptist Church
GASTONIA - FPC,NC,trad,The Memorial Carillon, First Presbyterian Church (PCUSA)
GASTONIA - FUMC,NC,non-trad,First United Methodist Church
GREENSBORO - LG,NC,chime,Our Lady of Grace Catholic Church
GREENSBORO - U,NC,non-trad,Nicholas A. Vacc Bell Tower, University of North Carolina at Greensboro (UNCB)
HENDERSON,NC,chime,First Baptist Church
HENDERSONVILLE,NC,ring,Patton Memorial Tower, St.James' Church (Episcopal)
HIGH POINT,NC,chime,Wesley Memorial United Methodist Church
KINSTON,NC,chime,First Presbyterian Church (PCUSA)
LAURINBURG - STA,NC,chime,Katherine McKay Belk Bell Tower, St.Andrews Presbyterian College
MCADENVILLE,NC,chime,City of McAdenville
MORGANTON,NC,non-trad,First Baptist Church (SBC)
NEW BERN,NC,non-trad,Christ Episcopal Church
RALEIGH - C,NC,ring,Christ Episcopal Church
RALEIGH - HNJ,NC,trad,Holy Name of Jesus Cathedral (RC)
RALEIGH - NCS,NC,trad,Memorial Tower, North Carolina State University
SHELBY,NC,chime,First Baptist Church
WILMINGTON -- FA,NC,chime,Fifth Avenue United Methodist Church
WILMINGTON -- FP,NC,non-trad,First Presbyterian Church (PCUSA)
WINSTON-SALEM - WF,NC,trad,Janet Jeffrey Carlile Harris Carillon, Wait Chapel, Wake Forest University
AKRON,OH,chime,North Clock Tower, Goodyear Tire & Rubber Company
ALLIANCE,OH,chime,Christ United Methodist Church (formerly First Methodist Church)
BOARDMAN,OH,non-trad,Boardman United Methodist Church
BRYAN,OH,non-trad,Markey Memorial Carillon, Wesley United Methodist Church
BUCYRUS,OH,chime,The John Q. Shunk Memorial, Aumiller Park
CANTON - P,OH,chime,Garden Center Park
CINCINNATI - CC,OH,chime,Christ Church Cathedral
CINCINNATI - GH,OH,non-trad,Gate of Heaven Cemetery
CINCINNATI - OTR,OH,chime,Over-the-Rhine Bell Tower
CINCINNATI - SP,OH,non-trad,Crusader Carillon, Sawyer Point Riverfront Park
CINCINNATI - STG,OH,chime,St.Gregory Street Project
CINCINNATI - STJ,OH,non-trad,St.John's United Church of Christ
CINCINNATI - STM,OH,chime,Old St.Mary's Catholic Church
CINCINNATI - STPC,OH,chime,St.Peter in Chains Cathedral (RC)
CINCINNATI - STT,OH,chime,St.Teresa of Avila RC Church
CINCINNATI - W,OH,chime,Westwood United Methodist Church
Cincinnati,OH,great,St.Francis de Sales Catholic Church
CIRCLEVILLE,OH,chime,William Foresman Chime, Pickaway County Courthouse
CLEVELAND - CC,OH,trad,The McGaffin Carillon (Alexander McGaffin Memorial), The Church of the Covenant (Presbyterian/PCUSA)
CLEVELAND - IC,OH,chime,Immaculate Conception Church (RC)
CLEVELAND - SH,OH,chime,The Cleveland Orchestra, Severance Hall
CLEVELAND - STP,OH,chime,St.Patrick's RC Church (Bridge Avenue)
CLEVELAND HEIGHTS - CS,OH,trad,Arter Memorial Carillon, Church of the Saviour
CLEVELAND HEIGHTS - STA,OH,chime,St.Ann's Catholic Church
CLEVELAND HEIGHTS - STP,OH,trad,Harry A. & Mariah H. Seabrook and Thomas Family Memorial Carillon, St.Paul's Episcopal Church
COLUMBUS - KA,OH,chime,King Avenue United Methodist Church
COLUMBUS - OSU,OH,chime,Orton Hall, Ohio State University
COLUMBUS - TC,OH,chime,Trinity Chime, All Saints' Tower, Trinity Church (Episcopal)
DAYTON - BW/mobile,OH,chime,The Bell Wagon, Carillon Historical Park
DAYTON - D,OH,trad,Deeds Carillon, Deeds Memorial Tower, Carillon Historical Park
DAYTON - F,OH,chime,First [English] Lutheran Church (ELCA)
DELAWARE - OW,OH,chime,Stuyvesant Hall, Ohio Wesleyan University
DELAWARE - STM,OH,chime,St.Mary's Church (RC)
GAMBIER,OH,chime,Church of the Holy Spirit (College Chapel), Kenyon College
GATES MILLS,OH,trad,Church of St.Christopher-by-the-River
GLENDALE - CC,OH,chime,Christ Church - Glendale (Episcopal)
GLENDALE - CT,OH,trad,Chapel Tower, Convent of the Transfiguration
GRANVILLE,OH,chime,Swasey Chapel, Denison University
LANCASTER - 2,OH,chime,First United Methodist Church
MAPLE HEIGHTS,OH,non-trad,Lutheran Church of the Covenant (ELCA)
MARIEMONT,OH,trad,Mary M. Emery Memorial Carillon, Thomas J. Emery Memorial Carillon Tower, Dogwood Park
MARIETTA,OH,chime,North tower, First Congregational Church (UCC)
MARYSVILLE,OH,chime,Arthur Chimes, First United Methodist Church
MIDDLETOWN - A,OH,trad,The Sidney Case McCammon Memorial Carillon, Episcopal Church of the Ascension
MIDDLETOWN - C,OH,non-trad,Casper Memorial Carillon, Donham Plaza (City Centre Plaza), City Building
MONTGOMERY,OH,chime,Heritage District
NEWARK - S,OH,trad,Flory Memorial Carillon, Second Presbyterian Church (PCUSA)
NORWALK,OH,chime,St.Paul's RC Church
OXFORD - 1,OH,chime,Molyneaux-Western Bell Tower, Miami University
OXFORD - 2,OH,non-trad,The Verlin L. Pulley Carillon, Pulley Bell Tower, Miami University
PORTSMOUTH,OH,chime,Holy Redeemer Catholic Church
RIO GRANDE,OH,non-trad,Alumni Carillon, Alumni Memorial Bell Tower, Rio Grande University
TIFFIN - F,OH,chime,First English Lutheran Church (ELCA)
TOLEDO - STJ,OH,chime,St.Joseph's French Church
TOLEDO - T,OH,chime,The Gardner Chime, Trinity Episcopal Church
VAN WERT,OH,chime,St.Mark's Lutheran Church (ELCA)
WAPAKONETA,OH,non-trad,St.Mark's Evang. Lutheran Church (ELCA)
WILLARD,OH,chime,Willard Christian Reformed Church
WILMINGTON --,OH,trad,Simon Goodman Memorial Carillon, Collett Mall, Wilmington College
YOUNGSTOWN,OH,,See BOARDMAN : USA - OH
ARDMORE,OK,chime,First Presbyterian Church (PCUSA)
Edmond,OK,great,St.Luke's United Methodist Church Edmund
OKLAHOMA CITY - FUMC,OK,chime,First United Methodist Church of Oklahoma City
OKLAHOMA CITY - PS,OK,chime,Penn Square Mall
OKLAHOMA CITY - STE,OK,non-trad,Chapel of St.Edward the Confessor, Casady School
OKLAHOMA CITY - STL,OK,trad,V. V. Harris Memorial Carillon, St.Luke's United Methodist Church
OKLAHOMA CITY - WPC,OK,trad,Westminster Carillon, Westminster Presbyterian Church (PCUSA)
TULSA - FP/2,OK,non-trad,First Presbyterian Church
CORVALLIS,OR,non-trad,Bell Tower, Oregon State University
PORTLAND - T,OR,chime,Trinity Episcopal Cathedral (formerly Trinity Church)
PORTLAND - U,OR,chime,Marian Garden, University of Portland
SAINT BENEDICT,OR,chime,Mount Angel Abbey
ALLENTOWN,PA,chime,St.John's United Church of Christ (UCC) (was St.John's Reformed Church)
ARDMORE,PA,chime,St.George's Episcopal Church (The Nevil Memorial Church of St.George)
BALA-CYNWYD - CC,PA,chime,Podowon Presbyterian Church (PCUSA) (was Presby. Church of the Covenant)
BALA-CYNWYD - STM,PA,chime,St.Matthias Catholic Church
BANGOR,PA,,*See WATERVLIET
BEAVER,PA,chime,First Baptist Church of Midland/Beaver (was Trinity Episcopal Church (ACNA)) originally in Rochester, PA
BEAVER FALLS,PA,chime,McCartney Library, Geneva College
BETHLEHEM - N,PA,chime,Sallie P. Wlibur Memorial Cathedral Church of the Nativity (Episcopal)
BRYN MAWR - P,PA,trad,Middleton Family Carillon, Bryn Mawr Presbyterian Church
BRYN MAWR - R,PA,chime,Catherwood Memorial Bells, Church of the Redeemer (Episcopal)
CAMP HILL,PA,chime,Shopping Center
CARLISLE,PA,chime,First United Church of Christ (UCC) (was First Reformed Church)
CATASAUQUA - F,PA,chime,Edwin Thomas Memorial Chimes, Catasauqua Presbyterian Church (PCUSA) (was First Presbyterian Church)
CHAMBERSBURG,PA,chime,First United Methodist Church (was First Ev.United Brethren Church)
CHESTER,PA,chime,St.Paul's Episcopal Church
COLUMBIA,PA,chime,St.John's Evang. Lutheran Church (ELCA)
DREXEL HILL,PA,chime,Collenbrook United Church (was Northminster Presby. Church, Federated) originally in Philadelphia
EASTON,PA,chime,First United Church of Christ (formerly 1st Reformed Church) (originally German Reformed Church)
ELIZABETHTOWN,PA,chime,John S. Sell Memorial Chapel, Masonic Village at Elizabethtown
EMMAUS,PA,chime,St.John's United Church of Christ (UCC) (was St.John's Reformed Church)
ERIE - PS,PA,trad,Floyd and Juanita Smith Carillon, Larry and Kathryn Smith Chapel, Penn State Erie, The Behrend College
ERIE - SPE,PA,chime,St.Peter Cathedral (RC)
FORT WASHINGTON,PA,trad,Catherine Colt Dickey Memorial Carillon, St.Thomas' Church
GETTYSBURG - GC,PA,non-trad,Gettysburg College
GETTYSBURG - STJ,PA,chime,St.James Lutheran Church (ELCA)
GLEN MILLS,PA,chime,Glen Mills Schools Library (formerly Smith Memorial Chapel; originally House of Refuge Chapel)
GWYNEDD,PA,chime,Episcopal Church of the Messiah
HARRISBURG - Z,PA,chime,Zion Lutheran Church (ELCA)
HOLLAND,PA,trad,Henry D. Schneider Memorial Carillon, Trinity Reformed Church (UCC)
HUNTINGDON,PA,chime,First United Methodist Church
JIM THORPE,PA,chime,Episcopal Parish of St.Mark & St.John (formerly St.Mark's Church)
JOHNSTOWN,PA,chime,First Lutheran Church (ELCA)
KENNETT SQUARE,PA,trad,Longwood Gardens
LANCASTER - G,PA,chime,Grace Lutheran Church (ELCA)
LANCASTER - T,PA,chime,The Evangelical Lutheran Church of The Holy Trinity (ELCA)
LEBANON - CC,PA,chime,Christ Church (Presbyterian/PCUSA)
LEBANON - STL,PA,chime,St.Luke's Church (Episcopal)
LEECHBURG,PA,non-trad,First Evangelical Lutheran Church
LEHIGHTON - F,PA,non-trad,Our Father's Divine Work
LEHIGHTON - Z,PA,chime,Zion United Church of Christ (UCC) (was Zion Reformed Church)
LOCK HAVEN - U,PA,non-trad,Fredericks Family Memorial Carillon, Lock Haven University of Pennsylvania
MAUCH CHUNK,PA,,*See JIM THORPE
MERCERSBURG,PA,trad,The Henry Bucher Swoope Carillon, Barker Tower, Chapel, Mercersburg Academy
MONONGAHELA,PA,chime,First United Methodist Church
NEW WILMINGTON,PA,trad,Duff-Armington Memorial Carillon, Old Main Building, Westminster College
OIL CITY,PA,chime,Christ Church (Episcopal)
PAOLI,PA,chime,Episcopal Church of the Good Samaritan
PHILADELPHIA - CC,PA,ring/chime,Christ Church (Episcopal)
PHILADELPHIA - CS,PA,chime,Philadelphia Episcopal Cathedral (was Church of the Saviour)
PHILADELPHIA - CSTM,PA,chime,Christ Church & St.Michael's (Episcopal)
PHILADELPHIA - FM,PA,trad,Shelmerdine Memorial Carillon, First United Methodist Church of Germantown
PHILADELPHIA - HT,PA,trad,Holy Trinity Church (Episcopal)
PHILADELPHIA - LHG,PA,non-trad,Harrison Bell Tower, The Lutheran Home of Germantown (ELCA)
PHILADELPHIA - STCB,PA,chime,Church of St.Charles Borromeo (RC)
PHILADELPHIA - STF,PA,chime,St.Francis de Sales Catholic Church
PHILADELPHIA - STJL/1,PA,chime,Wanamaker Mausoleum, Church of St.James-the-Less (Episcopal)
PHILADELPHIA - STL,PA,chime,St.Luke's Episcopal Church
PHILADELPHIA - STMKF,PA,chime,St.Mark's Episcopal Church (Frankford)
PHILADELPHIA - STMKL,PA,ring,St.Mark's Episcopal Church
PHILADELPHIA - STMTF/1,PA,chime,Upper belfry, The Episcopal Church of St.Martin-in-the-Fields
PHILADELPHIA - STMTF/2,PA,ring,Lower belfry, The Episcopal Church of St.Martin-in-the-Fields
PHILADELPHIA - STMY,PA,chime,St.Mary's-at-the-Cathedral Episcopal Church
PHILADELPHIA - STP,PA,ring/chime,St.Peter's Episcopal Church
PHILADELPHIA - STT,PA,chime,St.Timothy's Episcopal Church
PHILADELPHIA - STV,PA,trad,Miraculous Medal Shrine (RC) (formerly St.Vincent's Seminary)
PHILADELPHIA - W,PA,chime,Wynnefield Presbyterian Church (PCUSA)
PHILADELPHIA - 39B,PA,chime,"39 Bells", Public soundscape (bells on lampposts)
Philadelphia,PA,great,PNB-First Union Bank Building (formerly John Wanamaker's Department Store)
Philadelphia,PA,great,Independence Hall
Philadelphia,PA,great,Bicentennial Bell, Independence Park Visitor's Center Tower
PHILADELPHIA,PA,,*See also DREXEL HILL
PITTSBURGH - CC,PA,chime,Calvary Episcopal Church
PITTSBURGH - E,PA,chime,First Presbyterian Church of Edgewood (was Edgewood Presbyterian Church)
PITTSBURGH - FB,PA,chimola,First Baptist Church of Pittsburgh (ABC)
PITTSBURGH - SPC,PA,ring,Southminster Presbyterian Church
PITTSBURGH - STS,PA,peal,St.Stanislaus Kostka Catholic Church
PITTSBURGH - T,PA,chime,Trinity Episcopal Cathedral
POTTSTOWN - 1/mobile,PA,trad,CariBelle
POTTSTOWN - 2/mobile,PA,trad,The DellaPenna Family Carillon
POTTSVILLE,PA,chime,Trinity Episcopal Church
READING - CC,PA,chime,Christ Episcopal Church
READING - SLC,PA,trad,Bells of Joy, Schwarzwald Lutheran Church (ELCA)
READING - STP,PA,chime,St.Paul's Catholic Church
READING - TL,PA,chime,Trinity Lutheran Church (ELCA)
READING - W,PA,chime,Wesley United Methodist Church (was Windsor Street Methodist Church)
ROSEMONT,PA,chime,Memorial Church of the Good Shepherd (Episcopal)
SAYRE,PA,chime,Church of the Redeemer (Episcopal)
SCOTTDALE,PA,chime,First Regular Baptist Church (ABC)
SCRANTON - EP,PA,chime,Elm Park United Methodist Church (formerly First Methodist Church)
SEWICKLEY,PA,chime,St.Stephen's Episcopal Church (ACNA)
SHARON,PA,trad,Henry B. Forker, III and Harry B. McDowell, Jr. Memorial Carillon, St.John's Episcopal Church
SHENANDOAH,PA,,*See HOUSTON - STJV
TAMAQUA,PA,chime,Trinity United Church of Christ
UNIONTOWN,PA,chime,Penn State Fayette, The Eberly Campus
VALLEY FORGE,PA,trad,Washington Memorial National Carillon, National Patriots Bell Tower, Washington Memorial Chapel (Episcopal), Valley Forge National Historical Park
WARREN - FM,PA,chime,First United Methodist Church
WARREN - P,PA,chime,Beech Street Bells, Park
WAYMART,PA,zvon,Millenium Belltower, The Monastery of St.Tikhon of Zadonsk (Orthodox)
WAYNE,PA,chime,St.Mary's Episcopal Church
WHITEMARSH,PA,,*See FORT WASHINGTON
WILKINSBURG - STJ,PA,chime,St.James Catholic Church
WILLIAMSPORT - STM,PA,chime,St.Mark's Lutheran Church (ELCA)
WILLIAMSPORT - T,PA,chime,The Maynard Chime, Trinity Episcopal Church
YORK,PA,chime,Trinity Church (UCC) (formerly Trinity Reformed Church)
BRISTOL,RI,chime,St.Michael's Church (Episcopal)
CENTRAL FALLS,RI,chime,St.George's Episcopal Church
EAST GREENWICH,RI,chime,St.Luke's Episcopal Church
EDGEWOOD,RI,chime,Episcopal Church of the Transfiguration originally in Davenport, IA
NEWPORT - CM,RI,chime,Channing Memorial Church (UU)
NEWPORT - T,RI,chime,Trinity Episcopal Church
PAWTUCKET - STP,RI,chime,St.Paul's Episcopal Church
PROVIDENCE - G,RI,chime,Grace Church in Providence (Episcopal)
PROVIDENCE - STMAT,RI,chime,St.Martin's Episcopal Church
PROVIDENCE - STMAY,RI,chime,St.Mary's Catholic Church
PROVIDENCE - STMI,RI,chime,St.Michael the Archangel RC Church
WESTERLY,RI,chime,Christ Episcopal Church
AIKEN, SC, trad, St.Thaddeus Episcopal Church
CHARLESTON - C, SC, trad, The Thomas Dry Howie Carillon; The Citadel (Military College)
CHARLESTON - G, SC, ring, Columbarium tower; Grace Episcopal Church
CHARLESTON - LP, SC, ring, Cathedral Church of St.Luke & St.Paul (Episcopal)
CHARLESTON - STC, SC, non-trad, St.Clare of Assisi Catholic Church
CHARLESTON - STJ, SC, chime, St.John's Lutheran Church (ELCA)
CHARLESTON - STMA, SC, chime, St.Matthew's Evangelical Lutheran Church (ELCA)
CHARLESTON - STMI, SC, ring, St.Michael's Episcopal Church
CLEMSON - CU, SC, trad, Tillman Hall; Clemson University
CLEMSON - HT, SC, chime, Holy Trinity Episcopal Church
CLINTON, SC, non-trad, Bailey Memorial Carillon; Bailey Memorial Bell Tower; First Presbyterian Church (PCUSA)
COLUMBIA - SM, SC, chime, Shandon United Methodist Church
COLUMBIA - STJ, SC, non-trad, St.Joseph's Catholic Church
CONWAY, SC, non-trad, Graham Bell Tower; Coastal Carolina University
DANIEL ISLAND, SC, , *See CHARLESTON - STC
GREENVILLE - FU/2, SC, non-trad, The Burnside Carillon; Furman University [new campus]
GREENVILLE - R, SC, non-trad, Terrace at Riverplace
GREENVILLE - WPC, SC, non-trad, Niven Memorial Carillon; Niven Memorial Tower; Westminster Presbyterian Church (PCUSA)
GREENWOOD - CSMBC, SC, trad, Callie Self Memorial Baptist Church (SBC)
GREENWOOD - FBC, SC, non-trad, First Baptist Church (CBF)
GREENWOOD - GBLC, SC, chime, GBLC Building (was Greenwood Building and Loan Co.)
GREENWOOD - LC, SC, non-trad, Laura Lander Hall; Lander University (formerly Lander College)
SENECA, SC, chime, Trinity Baptist Church
SPARTANBURG - A, SC, chime, Episcopal Church of the Advent
SPARTANBURG - FP, SC, non-trad, First Presbyterian Church (PCUSA)
SULLIVAN'S ISLAND, SC, ring, Stella Maris RC Church
BROOKINGS - FL, SD, chime, First Lutheran Church
City, State, Type, Description
ABILENE - CHR, TX, non-trad/ring, All Saints' Tower; Church of the Heavenly Rest (Episcopal)
ABILENE - MMC, TX, trad, Radford Auditorium; McMurry University
AMARILLO - FB, TX, chime, First Baptist Church (SBC)
AUSTIN - GS, TX, non-trad, Episcopal Church of the Good Shepherd
AUSTIN - UT/1, TX, chime, The Burleson Bells; Bass Concert Hall Plaza; The University of Texas
AUSTIN - UT/2, TX, trad, Kniker Carillon; Main Building; The University of Texas
COLLEGE STATION, TX, non-trad, Albritton Tower Carillon; Texas A & M University
CORPUS CHRISTI - CGS, TX, trad, Memorial Carillon; Church of the Good Shepherd
CORPUS CHRISTI - FBC, TX, trad, Glasscock Memorial Carillon; First Baptist Church (SBC)
DALLAS - CG, TX, trad, Cathedral Santuario de Guadalupe (RC) (Shrine of Our Lady of Guadalupe) (orig. Cathedral of the Sacred Heart)
DALLAS - CI, TX, non-trad, Church of the Incarnation
DALLAS - CT, TX, chime, Church of the Transfiguration (Episcopal)
DALLAS - HP, TX, trad, Porter Memorial Carillon; Highland Park United Methodist Church
DALLAS - PCB, TX, non-trad, Park Cities Baptist Church (SBC)
DALLAS - SMA, TX, chime, Church of St.Michael and All Angels (Episcopal)
DALLAS - SMK, TX, trad, Roosevelt Family Carillon; St.Mark's School of Texas
DALLAS - SMU, TX, non-trad, Fondren Science Building; Southern Methodist University
Dallas - STJ, TX, ring, St.James Episcopal Church
Dallas, TX, great, Harlan Crow Campanile
FORT WORTH - STJ, TX, chime, St.John's Episcopal Church (ACNA)
FORT WORTH - TS, TX, chime, Harrison Chimes; First Presbyterian Church (PCUSA) (including Taylor Street Presb. Church)
GALVESTON, TX, chime, John Sealy Memorial Chime; Trinity Episcopal Church
HEREFORD, TX, chime, St.Anthony's RC Church
HOUSTON - HV, TX, trad, Bell Tower Center Carillon; Hillside Village (shopping center)
HOUSTON - PM/1, TX, chime, Upper belfry; Palmer Memorial Episcopal Church
HOUSTON - PM/2, TX, ring, Lower belfry; Palmer Memorial Episcopal Church
HOUSTON - SH, TX, non-trad, Campanile; Co-Cathedral of the Sacred Heart
HOUSTON - STJ, TX, trad, Cora Allison Leavens Memorial Carillon; St.John the Divine Episcopal Church
HOUSTON - STJV, TX, chime, St.John Vianney Catholic Church
HOUSTON - STM, TX, non-trad, Chapel Tower; St.Mary's Seminary (RC)
HOUSTON - STP/1, TX, chime, Martin Milford Jones Memorial; Upper belfry; St.Paul's United Methodist Church
HOUSTON - STP/2, TX, ring, Lower belfry; St.Paul's United Methodist Church
HOUSTON - STT, TX, ring, St.Thomas Episcopal Church
HOUSTON - STV, TX, chime, St.Vincent de Paul Church (RC)
HOUSTON - TLC, TX, trad, Theresa Mohnke Memorial Carillon; Trinity Lutheran Church (LCMS)
LUBBOCK - FM, TX, non-trad, Overton Memorial Bell Tower; First United Methodist Church
LUBBOCK - TTU, TX, trad, Charles & Georgia Robertson Baird Memorial Carillon; Administration Building; Texas Tech University
NACOGDOCHES, TX, non-trad, Griffith Fine Arts Building; Stephen F. Austin State University
PARIS, TX, chime, DeShong Chapel; Paris Junior College
ROSENBERG, TX, non-trad, The Jilji Louis Riha and Ruth Ellen Engelhardt Riha Memorial Carillon; Holy Rosary Catholic Church
SAN ANTONIO - CC, TX, trad, Nordan Memorial Carillon; Central Christian Church
SHERMAN, TX, trad, Wynne Chapel; Austin College
TYLER - U, TX, non-trad, Riter Millennium Carillon Plaza; The University of Texas at Tyler
VICTORIA --, TX, chime, Trinity Episcopal Church
WACO - BU/2, TX, trad, McLane Carillon; Presley Tower; Pat Neff Hall (Administration); Baylor University
WACO - BU/3, TX, non-trad, Chapel; George W. Truett Theological Seminary; Baylor University
WACO - STA, TX, trad, St.Alban's Episcopal Church
WICHITA FALLS - MSU, TX, trad, Redwine Carillon; Hardin Administration Building; Midwestern State University
CEDAR CITY, UT, non-trad, Carter Carillon Tower; Southern Utah University
PROVO, UT, trad, BYU Centennial Carillon; BYU Centennial Carillon Tower; Brigham Young University
BURLINGTON, VT, chime, St.Paul's Episcopal Cathedral (originally St.Paul's PE Church)
MIDDLEBURY, VT, trad, Mead Memorial Chapel; Middlebury College
MONTPELIER, VT, chime, Trinity United Methodist Church
NORTHFIELD, VT, trad, Charlotte Nichols Greene Memorial Carillon; Jeannie Porter Adams Memorial Tower; Norwich University
PROCTOR, VT, chime, Union Church of Proctor
RUTLAND, VT, chime, Grace Congregational Church (UCC)
SAINT ALBANS, VT, chime, St.Luke's Episcopal Church
ALEXANDRIA, VA, ring, Immanuel Chapel; Virginia Theological Seminary
ARLINGTON, VA, trad, Netherlands Carillon; Netherlands Carillon Gardens
CHARLOTTESVILLE, VA, trad, Sally Woods Rucker Memorial; Christ Episcopal Church
COPPER HILL, VA, chime, Syon Abbey
DANVILLE, VA, chime, Southside Center for Preservation and History (was Main St U Methodist Ch)
FALLS CHURCH, VA, chime, St.Anthony of Padua Catholic Church
FERRUM, VA, non-trad, Vaughn Memorial Tower; Ferrum College (formerly Ferrum Junior College)
FRONT ROYAL, VA, chime, Christ the King Chapel; Christendom College
HAMPTON, VA, chime, The Memorial Church; Hampton University (formerly Hampton Institute)
LURAY, VA, trad, Belle Brown Northcott Memorial Carillon; Luray Singing Tower; Luray Caverns
LYNCHBURG - C, VA, chime, Court Street United Methodist Church
LYNCHBURG - LU, VA, non-trad, Freedom Tower; Liberty University
LYNCHBURG - Q, VA, chime, Quaker Memorial Church (PCUSA)
MIDDLETOWN --, VA, chime, Grace United Methodist Church (originally Grace M.E.South)
MILLWOOD, VA, chime, Christ Church, Cunningham Chapel Parish (Episcopal)
NEWPORT NEWS - OL, VA, chime, Our Lady of Mount Carmel Church
NORFOLK - F, VA, chime, Freemason Street Baptist Church
NORFOLK - VAF/mobile, VA, non-trad, VAF mobile carillon; Virginia Arts Festival (VAF)
PETERSBURG, VA, chime, St.Paul's Episcopal Church
RICHMOND - C, VA, chime, Talbott Chime; Centenary United Methodist Church
RICHMOND - GHT, VA, chime, Grace & Holy Trinity Episcopal Church
RICHMOND - J, VA, chime, Boatman's Tower; James Center
RICHMOND - S, VA, chime, Sixth Street Market Place
RICHMOND - WM, VA, trad, Virginia Soldiers' War Memorial
ROANOKE - G, VA, chime, Greene Memorial Methodist Church
ROANOKE - HC, VA, trad, Allie Nash Young Carillon; Jessie Ball DuPont Chapel; Hollins University (formerly Hollins College)
RUTHER GLEN - 1, VA, ring, B. A. Sunderlin Bell Foundry
RUTHER GLEN - 2/mobile, VA, trad, Mobile carillon; B. A. Sunderlin Bell Foundry
VINTON, VA, non-trad, Thrasher Memorial United Methodist Church
WINCHESTER, VA, chime, Glaize Memorial; Grace Evang. Lutheran Church (ELCA)
LONGVIEW, WA, chime, Longview Community Church
